Species,Year,Quarter,Length,Sexo,PesoMgayi,BodyWeight,Preyweight,ISU
Lamarillo,92,2,57,2,1294.574655,1409.31873,27.2,3.947644723
Lamarillo,92,2,58,1,1248.26531,1246.76568,0.41,8.01990614
Lamarillo,92,2,58,2,1357.759024,1484.80232,13.2,4.722820095
Lamarillo,92,2,60,2,1489.925049,1643.76,4.5,5.900664183
Lamarillo,92,2,67,2,2015.927713,2288.80643,40.86,4.025634162
Lamarillo,92,2,68,2,2099.444588,2392.82752,45.94,3.952894811
Lamarillo,92,3,41,1,458.0842352,440.40519,10.56,3.730621911
Lamarillo,92,3,42,2,560.7032215,563.80968,18.56,3.41370802
Lamarillo,92,3,43,2,598.0445871,605.04827,7.54,4.385086058
Lamarillo,92,3,45,1,599.4930668,582.28875,3.75,5.045210619
Lamarillo,92,3,54,2,1116.320493,1198.30104,24.89,3.874193916
Lamarillo,93,1,60,2,1489.925049,1643.76,19.5,4.434327114
Lamarillo,93,2,59,2,1422.867657,1562.93419,29.28,3.977415536
Lamarillo,94,3,53,2,1060.585972,1132.95397,27.39,3.72240565
Lamarillo,96,1,37,1,340.4889189,323.67267,3.16,4.6291607
Lamarillo,96,1,44,2,636.9279823,648.25024,5.24,4.817955296
Lamarillo,96,3,31,1,204.1903884,190.36449,1.77,4.677961056
Lamarillo,96,3,33,1,244.6275052,229.63743,0.71,5.778991983
Lamarillo,96,3,33,2,289.5730836,273.48057,2.74,4.603272657
Lamarillo,96,3,35,2,340.2330021,326.27875,0.03,9.294309975
Lamarillo,96,3,36,1,314.5677726,298.13184,0.32,6.836970088
Lamarillo,96,3,36,2,367.5351227,355.05216,0.09,8.280210317
Lamarillo,96,3,37,1,340.4889189,323.67267,5.98,3.991312159
Lamarillo,96,3,37,1,340.4889189,323.67267,0.02,9.691755733
Lamarillo,96,3,37,1,340.4889189,323.67267,1.27,5.540715827
Lamarillo,96,3,37,2,396.1892794,385.46933,0.04,9.173337456
Lamarillo,96,3,37,2,396.1892794,385.46933,0.03,9.461019528
Lamarillo,96,3,37,2,396.1892794,385.46933,0.97,5.984920838
Lamarillo,96,3,38,1,367.7685557,350.63208,8.67,3.699868678
Lamarillo,96,3,38,2,426.2231657,417.57592,0.12,8.154729908
Lamarillo,96,3,38,2,426.2231657,417.57592,0.09,8.442411981
Lamarillo,96,3,38,2,426.2231657,417.57592,4.1,4.623479398
Lamarillo,96,3,38,2,426.2231657,417.57592,3.37,4.819553628
Lamarillo,96,3,39,1,396.4393125,379.04841,2.37,5.074773973
Lamarillo,96,3,39,1,396.4393125,379.04841,7.75,3.889971084
Lamarillo,96,3,39,1,396.4393125,379.04841,5.45,4.242048319
Lamarillo,96,3,39,1,396.4393125,379.04841,6.16,4.11958715
Lamarillo,96,3,39,1,396.4393125,379.04841,0.07,8.596923965
Lamarillo,96,3,39,1,396.4393125,379.04841,0.1,8.240249021
Lamarillo,96,3,39,1,396.4393125,379.04841,1.27,5.698647027
Lamarillo,96,3,39,1,396.4393125,379.04841,1.38,5.615580429
Lamarillo,96,3,39,2,457.6642813,451.41759,2.05,5.394553038
Lamarillo,96,3,39,2,457.6642813,451.41759,1.47,5.72713043
Lamarillo,96,3,39,2,457.6642813,451.41759,11.39,3.679657054
Lamarillo,96,3,39,2,457.6642813,451.41759,3.61,4.828685059
Lamarillo,96,3,40,1,426.5337245,408.96,3.14,4.869394552
Lamarillo,96,3,40,1,426.5337245,408.96,14.7,3.325769858
Lamarillo,96,3,40,1,426.5337245,408.96,15.05,3.302239361
Lamarillo,96,3,40,1,426.5337245,408.96,6.85,4.089368699
Lamarillo,96,3,40,1,426.5337245,408.96,2.12,5.262201263
Lamarillo,96,3,40,1,426.5337245,408.96,0.14,7.979730208
Lamarillo,96,3,40,1,426.5337245,408.96,2.95,4.931812181
Lamarillo,96,3,40,1,426.5337245,408.96,0.7,6.370292296
Lamarillo,96,3,40,1,426.5337245,408.96,0.16,7.846198815
Lamarillo,96,3,40,1,426.5337245,408.96,0.47,6.768639936
Lamarillo,96,3,40,1,426.5337245,408.96,6.55,4.134152302
Lamarillo,96,3,40,1,426.5337245,408.96,13.44,3.415382017
Lamarillo,96,3,40,1,426.5337245,408.96,16.93,3.184530156
Lamarillo,96,3,40,1,426.5337245,408.96,0.56,6.593435847
Lamarillo,96,3,40,2,490.5399381,487.04,0.77,6.449711019
Lamarillo,96,3,40,2,490.5399381,487.04,0.17,7.960303097
Lamarillo,96,3,40,2,490.5399381,487.04,24.21,3.001580484
Lamarillo,96,3,40,2,490.5399381,487.04,6.81,4.269954135
Lamarillo,96,3,40,2,490.5399381,487.04,12.35,3.674690192
Lamarillo,96,3,40,2,490.5399381,487.04,10.27,3.859119231
Lamarillo,96,3,40,2,490.5399381,487.04,8.09,4.097717524
Lamarillo,96,3,41,1,458.0842352,440.40519,3.14,4.94347239
Lamarillo,96,3,41,1,458.0842352,440.40519,3.27,4.902905205
Lamarillo,96,3,41,1,458.0842352,440.40519,8.28,3.973852221
Lamarillo,96,3,41,1,458.0842352,440.40519,18.47,3.171547395
Lamarillo,96,3,41,1,458.0842352,440.40519,6.91,4.154725552
Lamarillo,96,3,41,1,458.0842352,440.40519,5.21,4.437115334
Lamarillo,96,3,41,1,458.0842352,440.40519,0.15,7.984815174
Lamarillo,96,3,41,1,458.0842352,440.40519,0.26,7.434768837
Lamarillo,96,3,41,1,458.0842352,440.40519,7.54,4.067473008
Lamarillo,96,3,41,1,458.0842352,440.40519,0.08,8.613423834
Lamarillo,96,3,41,1,458.0842352,440.40519,6.44,4.225166649
Lamarillo,96,3,41,1,458.0842352,440.40519,14.16,3.437274101
Lamarillo,96,3,41,1,458.0842352,440.40519,17.32,3.235833286
Lamarillo,96,3,41,1,458.0842352,440.40519,12.32,3.576471231
Lamarillo,96,3,41,1,458.0842352,440.40519,6.63,4.196090385
Lamarillo,96,3,41,1,458.0842352,440.40519,0.6,6.598520813
Lamarillo,96,3,41,1,458.0842352,440.40519,6.08,4.282690494
Lamarillo,96,3,41,1,458.0842352,440.40519,13.74,3.467383903
Lamarillo,96,3,41,1,458.0842352,440.40519,3.04,4.975837674
Lamarillo,96,3,41,1,458.0842352,440.40519,0.28,7.360660865
Lamarillo,96,3,41,2,524.8772666,524.48881,0.54,6.878610232
Lamarillo,96,3,41,2,524.8772666,524.48881,11.55,3.815738656
Lamarillo,96,3,41,2,524.8772666,524.48881,0.09,8.670369702
Lamarillo,96,3,41,2,524.8772666,524.48881,7.6,4.234275846
Lamarillo,96,3,41,2,524.8772666,524.48881,0.55,6.860261094
Lamarillo,96,3,41,2,524.8772666,524.48881,15.4,3.528056584
Lamarillo,96,3,41,2,524.8772666,524.48881,20.65,3.234708774
Lamarillo,96,3,41,2,524.8772666,524.48881,0.28,7.535389769
Lamarillo,96,3,41,2,524.8772666,524.48881,17.82,3.382102671
Lamarillo,96,3,41,2,524.8772666,524.48881,11.65,3.807117913
Lamarillo,96,3,41,2,524.8772666,524.48881,7.14,4.296711317
Lamarillo,96,3,41,2,524.8772666,524.48881,14.79,3.568472816
Lamarillo,96,3,41,2,524.8772666,524.48881,7.78,4.210867755
Lamarillo,96,3,41,2,524.8772666,524.48881,11.21,3.845617856
Lamarillo,96,3,41,2,524.8772666,524.48881,54.01,2.273254878
Lamarillo,96,3,42,1,491.123199,473.42232,0.49,6.873337732
Lamarillo,96,3,42,1,491.123199,473.42232,4.56,4.642665221
Lamarillo,96,3,42,1,491.123199,473.42232,4.61,4.631759987
Lamarillo,96,3,42,1,491.123199,473.42232,7.38,4.161214206
Lamarillo,96,3,42,1,491.123199,473.42232,9.17,3.944050558
Lamarillo,96,3,42,1,491.123199,473.42232,11.05,3.757557416
Lamarillo,96,3,42,1,491.123199,473.42232,9.38,3.921408081
Lamarillo,96,3,42,1,491.123199,473.42232,11.86,3.686816451
Lamarillo,96,3,42,1,491.123199,473.42232,2.8,5.130368427
Lamarillo,96,3,42,1,491.123199,473.42232,0.03,9.666545742
Lamarillo,96,3,42,1,491.123199,473.42232,3.69,4.854361386
Lamarillo,96,3,42,1,491.123199,473.42232,3.96,4.783743819
Lamarillo,96,3,42,1,491.123199,473.42232,4.13,4.741710437
Lamarillo,96,3,42,1,491.123199,473.42232,9.53,3.905543127
Lamarillo,96,3,42,1,491.123199,473.42232,10.69,3.790679119
Lamarillo,96,3,42,1,491.123199,473.42232,15.59,3.413358161
Lamarillo,96,3,42,1,491.123199,473.42232,12.59,3.627084996
Lamarillo,96,3,42,1,491.123199,473.42232,15.95,3.390529015
Lamarillo,96,3,42,1,491.123199,473.42232,17.18,3.316241928
Lamarillo,96,3,42,1,491.123199,473.42232,18.39,3.248180806
Lamarillo,96,3,42,1,491.123199,473.42232,17.5,3.297786963
Lamarillo,96,3,42,1,491.123199,473.42232,13.59,3.550653616
Lamarillo,96,3,42,1,491.123199,473.42232,4.89,4.572795541
Lamarillo,96,3,42,1,491.123199,473.42232,3.45,4.921613613
Lamarillo,96,3,42,1,491.123199,473.42232,15.22,3.437377492
Lamarillo,96,3,42,1,491.123199,473.42232,11.15,3.748548346
Lamarillo,96,3,42,2,560.7032215,563.80968,21.03,3.288766758
Lamarillo,96,3,42,2,560.7032215,563.80968,0.43,7.178686818
Lamarillo,96,3,42,2,560.7032215,563.80968,9,4.13749217
Lamarillo,96,3,42,2,560.7032215,563.80968,12.4,3.817020275
Lamarillo,96,3,42,2,560.7032215,563.80968,6.23,4.505340415
Lamarillo,96,3,42,2,560.7032215,563.80968,13.65,3.720977226
Lamarillo,96,3,42,2,560.7032215,563.80968,18,3.44434499
Lamarillo,96,3,42,2,560.7032215,563.80968,1.06,6.27644784
Lamarillo,96,3,42,2,560.7032215,563.80968,0.05,9.330449021
Lamarillo,96,3,42,2,560.7032215,563.80968,21.48,3.267594478
Lamarillo,96,3,42,2,560.7032215,563.80968,22.59,3.217209417
Lamarillo,96,3,42,2,560.7032215,563.80968,20.84,3.297842531
Lamarillo,96,3,42,2,560.7032215,563.80968,13.92,3.701390093
Lamarillo,96,3,42,2,560.7032215,563.80968,19.07,3.386600328
Lamarillo,96,3,42,2,560.7032215,563.80968,8.55,4.188785465
Lamarillo,96,3,42,2,560.7032215,563.80968,12.65,3.797059533
Lamarillo,96,3,42,2,560.7032215,563.80968,0.91,6.429027427
Lamarillo,96,3,42,2,560.7032215,563.80968,15.07,3.622010735
Lamarillo,96,3,42,2,560.7032215,563.80968,5.28,4.67079065
Lamarillo,96,3,42,2,560.7032215,563.80968,15.12,3.618698377
Lamarillo,96,3,42,2,560.7032215,563.80968,13.6,3.724646955
Lamarillo,96,3,42,2,560.7032215,563.80968,4.41,4.850842058
Lamarillo,96,3,42,2,560.7032215,563.80968,3.74,5.015631136
Lamarillo,96,3,43,1,525.6828838,508.04973,6.18,4.409261065
Lamarillo,96,3,43,1,525.6828838,508.04973,11.31,3.804892046
Lamarillo,96,3,43,1,525.6828838,508.04973,0.03,9.737137234
Lamarillo,96,3,43,1,525.6828838,508.04973,10.6,3.869725335
Lamarillo,96,3,43,1,525.6828838,508.04973,4.52,4.722067343
Lamarillo,96,3,43,1,525.6828838,508.04973,10.52,3.877301129
Lamarillo,96,3,43,1,525.6828838,508.04973,3.08,5.10564974
Lamarillo,96,3,43,1,525.6828838,508.04973,5.97,4.443832409
Lamarillo,96,3,43,1,525.6828838,508.04973,21.5,3.162526401
Lamarillo,96,3,43,1,525.6828838,508.04973,5.82,4.469279075
Lamarillo,96,3,43,1,525.6828838,508.04973,0.19,7.891310543
